omrrts,Customer_#,Order_Date,Product_#,Quantity,Unit_Price,Total_Cost,Order_Category
138,10045,5/11/2012,Product 7,23, 9.00 , 207.00 ,Large Order
139,10091,3/19/2013,Product 7,5, 9.00 , 45.00 ,Small Order
140,10017,4/23/2015,Product 1,24, 18.00 , 432.00 ,Large Order
141,10146,1/8/2013,Product 8,14, 8.00 , 112.00 ,Normal Order
142,10024,6/29/2015,Product 4,24, 2.00 , 48.00 ,Large Order
143,10097,11/16/2012,Product 9,26, 2.00 , 52.00 ,Large Order
144,10091,4/9/2014,Product 8,29, 8.00 , 232.00 ,Large Order
145,10035,9/25/2013,Product 10,27, 13.00 , 351.00 ,Large Order
146,10073,7/21/2010,Product 4,21, 2.00 , 42.00 ,Large Order
147,10111,12/6/2013,Product 2,11, 12.00 , 132.00 ,Normal Order
148,10125,8/25/2010,Product 8,6, 8.00 , 48.00 ,Normal Order
149,10111,1/2/2012,Product 3,10, 12.00 , 120.00 ,Normal Order
150,10027,11/12/2011,Product 3,18, 12.00 , 216.00 ,Large Order
151,10131,2/23/2014,Product 2,12, 12.00 , 144.00 ,Normal Order
152,10028,5/9/2012,Product 6,19, 4.00 , 76.00 ,Large Order
153,10085,8/26/2011,Product 7,21, 9.00 , 189.00 ,Large Order
154,10032,12/25/2012,Product 1,29, 18.00 , 522.00 ,Large Order
155,10075,11/10/2012,Product 4,8, 2.00 , 16.00 ,Normal Order
156,10047,9/7/2012,Product 9,7, 2.00 , 14.00 ,Normal Order
157,10006,1/26/2013,Product 4,6, 2.00 , 12.00 ,Normal Order
158,10075,12/2/2010,Product 4,13, 2.00 , 26.00 ,Normal Order
159,10051,7/16/2011,Product 9,26, 2.00 , 52.00 ,Large Order
160,10118,10/30/2011,Product 3,23, 12.00 , 276.00 ,Large Order
161,10149,12/25/2012,Product 7,13, 9.00 , 117.00 ,Normal Order
162,10032,11/29/2015,Product 5,2, 12.00 , 24.00 ,Small Order
163,10148,12/19/2013,Product 8,10, 8.00 , 80.00 ,Normal Order
164,10118,12/18/2014,Product 7,4, 9.00 , 36.00 ,Small Order
165,10066,1/4/2015,Product 3,30, 12.00 , 360.00 ,Large Order
166,10081,9/11/2015,Product 6,15, 4.00 , 60.00 ,Large Order
167,10045,5/13/2010,Product 4,24, 2.00 , 48.00 ,Large Order
168,10092,7/22/2014,Product 7,15, 9.00 , 135.00 ,Large Order
169,10079,12/18/2014,Product 9,6, 2.00 , 12.00 ,Normal Order
170,10126,8/21/2010,Product 4,4, 2.00 , 8.00 ,Small Order
171,10091,8/18/2015,Product 7,7, 9.00 , 63.00 ,Normal Order
172,10055,10/9/2010,Product 1,26, 18.00 , 468.00 ,Large Order
173,10003,5/28/2010,Product 8,9, 8.00 , 72.00 ,Normal Order
174,10116,4/2/2010,Product 4,15, 2.00 , 30.00 ,Large Order
175,10002,3/8/2012,Product 10,16, 13.00 , 208.00 ,Large Order
176,10001,11/18/2014,Product 8,5, 8.00 , 40.00 ,Small Order
177,10050,3/16/2015,Product 8,14, 8.00 , 112.00 ,Normal Order
178,10125,1/14/2012,Product 3,2, 12.00 , 24.00 ,Small Order
179,10095,8/26/2010,Product 1,12, 18.00 , 216.00 ,Normal Order
180,10100,2/10/2010,Product 3,19, 12.00 , 228.00 ,Large Order
181,10126,1/20/2010,Product 7,26, 9.00 , 234.00 ,Large Order
182,10120,1/3/2012,Product 10,8, 13.00 , 104.00 ,Normal Order
183,10134,5/2/2011,Product 9,4, 2.00 , 8.00 ,Small Order
184,10008,7/7/2014,Product 3,7, 12.00 , 84.00 ,Normal Order
185,10082,1/12/2010,Product 1,23, 18.00 , 414.00 ,Large Order
186,10005,10/7/2014,Product 5,8, 12.00 , 96.00 ,Normal Order
187,10146,11/2/2015,Product 5,7, 12.00 , 84.00 ,Normal Order
188,10041,11/9/2011,Product 3,17, 12.00 , 204.00 ,Large Order
189,10028,9/9/2013,Product 6,20, 4.00 , 80.00 ,Large Order
190,10060,10/11/2012,Product 1,7, 18.00 , 126.00 ,Normal Order
191,10149,5/28/2014,Product 1,3, 18.00 , 54.00 ,Small Order
192,10035,2/15/2014,Product 1,2, 18.00 , 36.00 ,Small Order
193,10121,12/22/2015,Product 6,1, 4.00 , 4.00 ,Small Order
194,10121,2/26/2010,Product 5,15, 12.00 , 180.00 ,Large Order
195,10073,8/26/2015,Product 2,12, 12.00 , 144.00 ,Normal Order
196,10027,11/2/2013,Product 7,25, 9.00 , 225.00 ,Large Order
197,10120,12/25/2011,Product 2,18, 12.00 , 216.00 ,Large Order
198,10062,6/2/2014,Product 5,3, 12.00 , 36.00 ,Small Order
199,10039,5/30/2011,Product 4,18, 2.00 , 36.00 ,Large Order
200,10003,9/23/2015,Product 8,28, 8.00 , 224.00 ,Large Order
201,10030,12/11/2011,Product 4,20, 2.00 , 40.00 ,Large Order
202,10053,5/22/2015,Product 3,4, 12.00 , 48.00 ,Small Order
203,10016,3/14/2013,Product 6,18, 4.00 , 72.00 ,Large Order
204,10084,9/9/2014,Product 1,19, 18.00 , 342.00 ,Large Order
205,10040,11/19/2015,Product 2,7, 12.00 , 84.00 ,Normal Order
206,10065,9/20/2012,Product 6,28, 4.00 , 112.00 ,Large Order
207,10011,3/3/2015,Product 2,5, 12.00 , 60.00 ,Small Order
208,10083,2/18/2014,Product 7,21, 9.00 , 189.00 ,Large Order
209,10084,2/12/2015,Product 7,24, 9.00 , 216.00 ,Large Order
210,10057,9/28/2015,Product 4,16, 2.00 , 32.00 ,Large Order
211,10130,3/18/2014,Product 1,20, 18.00 , 360.00 ,Large Order
212,10027,12/15/2011,Product 2,3, 12.00 , 36.00 ,Small Order
213,10015,12/17/2015,Product 9,23, 2.00 , 46.00 ,Large Order
214,10078,9/14/2013,Product 7,14, 9.00 , 126.00 ,Normal Order
215,10058,4/17/2011,Product 4,8, 2.00 , 16.00 ,Normal Order
216,10026,11/25/2014,Product 7,7, 9.00 , 63.00 ,Normal Order
217,10096,2/19/2012,Product 5,21, 12.00 , 252.00 ,Large Order
218,10126,8/11/2015,Product 10,11, 13.00 , 143.00 ,Normal Order
219,10069,2/26/2012,Product 3,4, 12.00 , 48.00 ,Small Order
220,10017,8/10/2011,Product 3,30, 12.00 , 360.00 ,Large Order
221,10139,7/29/2013,Product 1,20, 18.00 , 360.00 ,Large Order
222,10035,10/4/2012,Product 2,22, 12.00 , 264.00 ,Large Order
223,10133,2/8/2014,Product 2,12, 12.00 , 144.00 ,Normal Order
224,10082,1/30/2013,Product 2,8, 12.00 , 96.00 ,Normal Order
225,10083,10/23/2010,Product 5,26, 12.00 , 312.00 ,Large Order
226,10140,8/19/2010,Product 8,30, 8.00 , 240.00 ,Large Order
227,10029,4/17/2011,Product 8,17, 8.00 , 136.00 ,Large Order
228,10117,9/2/2014,Product 4,30, 2.00 , 60.00 ,Large Order
229,10091,12/11/2014,Product 5,30, 12.00 , 360.00 ,Large Order
230,10084,10/18/2012,Product 10,10, 13.00 , 130.00 ,Normal Order
231,10013,6/10/2015,Product 8,1, 8.00 , 8.00 ,Small Order
232,10060,9/16/2011,Product 3,21, 12.00 , 252.00 ,Large Order
233,10076,2/6/2011,Product 2,8, 12.00 , 96.00 ,Normal Order
234,10031,10/17/2015,Product 4,29, 2.00 , 58.00 ,Large Order
235,10008,2/25/2012,Product 5,20, 12.00 , 240.00 ,Large Order
236,10030,11/12/2013,Product 1,30, 18.00 , 540.00 ,Large Order
237,10021,7/6/2014,Product 4,24, 2.00 , 48.00 ,Large Order
238,10085,3/28/2012,Product 10,22, 13.00 , 286.00 ,Large Order
239,10121,3/31/2013,Product 5,1, 12.00 , 12.00 ,Small Order
240,10048,3/24/2010,Product 2,3, 12.00 , 36.00 ,Small Order
241,10096,11/22/2012,Product 3,20, 12.00 , 240.00 ,Large Order
242,10011,11/14/2012,Product 8,30, 8.00 , 240.00 ,Large Order
243,10026,3/8/2015,Product 2,21, 12.00 , 252.00 ,Large Order
244,10138,6/7/2014,Product 4,21, 2.00 , 42.00 ,Large Order
245,10015,11/8/2010,Product 2,24, 12.00 , 288.00 ,Large Order
246,10125,11/4/2013,Product 1,6, 18.00 , 108.00 ,Normal Order
247,10038,5/2/2014,Product 3,19, 12.00 , 228.00 ,Large Order
248,10038,11/7/2014,Product 8,8, 8.00 , 64.00 ,Normal Order
249,10078,4/30/2010,Product 10,1, 13.00 , 13.00 ,Small Order
250,10141,6/24/2013,Product 6,19, 4.00 , 76.00 ,Large Order
251,10137,8/20/2012,Product 6,29, 4.00 , 116.00 ,Large Order
252,10130,9/24/2012,Product 4,6, 2.00 , 12.00 ,Normal Order
253,10134,5/31/2010,Product 3,5, 12.00 , 60.00 ,Small Order
254,10131,8/16/2012,Product 2,14, 12.00 , 168.00 ,Normal Order
255,10146,8/13/2011,Product 4,21, 2.00 , 42.00 ,Large Order
256,10112,10/7/2013,Product 8,25, 8.00 , 200.00 ,Large Order
257,10075,6/16/2013,Product 1,29, 18.00 , 522.00 ,Large Order
258,10024,2/15/2011,Product 3,7, 12.00 , 84.00 ,Normal Order
259,10003,4/23/2013,Product 6,24, 4.00 , 96.00 ,Large Order
260,10090,8/27/2012,Product 10,27, 13.00 , 351.00 ,Large Order
261,10138,3/18/2013,Product 9,5, 2.00 , 10.00 ,Small Order
262,10105,1/3/2015,Product 7,6, 9.00 , 54.00 ,Normal Order
263,10052,5/29/2011,Product 7,18, 9.00 , 162.00 ,Large Order
264,10013,8/15/2013,Product 9,15, 2.00 , 30.00 ,Large Order
265,10122,11/29/2013,Product 10,18, 13.00 , 234.00 ,Large Order
266,10035,10/8/2014,Product 3,13, 12.00 , 156.00 ,Normal Order
267,10101,6/11/2011,Product 5,19, 12.00 , 228.00 ,Large Order
268,10121,6/5/2014,Product 2,1, 12.00 , 12.00 ,Small Order
269,10056,7/25/2011,Product 5,5, 12.00 , 60.00 ,Small Order
270,10084,5/26/2011,Product 3,6, 12.00 , 72.00 ,Normal Order
271,10055,5/30/2011,Product 9,18, 2.00 , 36.00 ,Large Order
272,10132,9/1/2015,Product 4,19, 2.00 , 38.00 ,Large Order
273,10144,7/1/2012,Product 10,30, 13.00 , 390.00 ,Large Order
274,10033,4/13/2015,Product 7,22, 9.00 , 198.00 ,Large Order
275,10139,9/6/2015,Product 1,13, 18.00 , 234.00 ,Normal Order
276,10042,12/23/2012,Product 6,30, 4.00 , 120.00 ,Large Order
277,10033,6/18/2011,Product 8,23, 8.00 , 184.00 ,Large Order
278,10043,9/27/2011,Product 1,15, 18.00 , 270.00 ,Large Order
279,10027,5/21/2012,Product 1,16, 18.00 , 288.00 ,Large Order
280,10149,5/4/2010,Product 8,12, 8.00 , 96.00 ,Normal Order
281,10111,6/19/2012,Product 1,26, 18.00 , 468.00 ,Large Order
282,10045,11/9/2013,Product 2,11, 12.00 , 132.00 ,Normal Order
283,10043,5/5/2013,Product 7,15, 9.00 , 135.00 ,Large Order
284,10037,12/7/2013,Product 4,29, 2.00 , 58.00 ,Large Order
285,10066,7/19/2015,Product 4,5, 2.00 , 10.00 ,Small Order
286,10009,8/21/2011,Product 4,5, 2.00 , 10.00 ,Small Order
287,10096,10/21/2011,Product 5,16, 12.00 , 192.00 ,Large Order
288,10148,8/8/2012,Product 1,1, 18.00 , 18.00 ,Small Order
289,10005,3/14/2013,Product 8,29, 8.00 , 232.00 ,Large Order
290,10035,9/13/2012,Product 5,2, 12.00 , 24.00 ,Small Order
291,10119,5/23/2012,Product 3,4, 12.00 , 48.00 ,Small Order
292,10101,6/18/2015,Product 9,30, 2.00 , 60.00 ,Large Order
293,10048,4/11/2010,Product 6,6, 4.00 , 24.00 ,Normal Order
294,10127,1/14/2012,Product 7,18, 9.00 , 162.00 ,Large Order
295,10142,2/1/2011,Product 4,3, 2.00 , 6.00 ,Small Order
296,10118,8/15/2010,Product 4,20, 2.00 , 40.00 ,Large Order
297,10060,9/16/2015,Product 10,10, 13.00 , 130.00 ,Normal Order
298,10069,8/2/2014,Product 5,27, 12.00 , 324.00 ,Large Order
299,10099,7/11/2013,Product 6,17, 4.00 , 68.00 ,Large Order
300,10057,12/30/2010,Product 1,26, 18.00 , 468.00 ,Large Order
301,10006,11/27/2012,Product 1,18, 18.00 , 324.00 ,Large Order
302,10112,3/15/2012,Product 8,8, 8.00 , 64.00 ,Normal Order
303,10044,6/8/2011,Product 8,1, 8.00 , 8.00 ,Small Order
304,10029,1/23/2011,Product 5,30, 12.00 , 360.00 ,Large Order
305,10086,4/14/2012,Product 4,4, 2.00 , 8.00 ,Small Order
306,10096,7/19/2014,Product 7,14, 9.00 , 126.00 ,Normal Order
307,10031,6/12/2013,Product 10,4, 13.00 , 52.00 ,Small Order
308,10136,7/21/2010,Product 4,20, 2.00 , 40.00 ,Large Order
309,10088,10/4/2015,Product 5,27, 12.00 , 324.00 ,Large Order
310,10113,12/29/2014,Product 7,3, 9.00 , 27.00 ,Small Order
311,10080,4/3/2015,Product 3,21, 12.00 , 252.00 ,Large Order
312,10065,10/28/2010,Product 9,15, 2.00 , 30.00 ,Large Order
313,10077,7/11/2010,Product 9,15, 2.00 , 30.00 ,Large Order
314,10102,6/3/2013,Product 5,14, 12.00 , 168.00 ,Normal Order
315,10148,4/24/2014,Product 6,23, 4.00 , 92.00 ,Large Order
316,10143,9/27/2012,Product 1,2, 18.00 , 36.00 ,Small Order
317,10050,10/27/2013,Product 3,11, 12.00 , 132.00 ,Normal Order
318,10012,1/27/2012,Product 4,29, 2.00 , 58.00 ,Large Order
319,10075,2/8/2011,Product 1,5, 18.00 , 90.00 ,Small Order
320,10027,5/3/2013,Product 10,4, 13.00 , 52.00 ,Small Order
321,10138,11/26/2011,Product 7,27, 9.00 , 243.00 ,Large Order
322,10066,8/27/2010,Product 2,16, 12.00 , 192.00 ,Large Order
323,10142,1/19/2013,Product 5,9, 12.00 , 108.00 ,Normal Order
324,10118,12/20/2012,Product 9,20, 2.00 , 40.00 ,Large Order
325,10088,10/16/2012,Product 7,26, 9.00 , 234.00 ,Large Order
326,10027,9/17/2014,Product 6,3, 4.00 , 12.00 ,Small Order
327,10111,5/16/2015,Product 3,30, 12.00 , 360.00 ,Large Order
328,10097,10/17/2010,Product 6,23, 4.00 , 92.00 ,Large Order
329,10061,2/26/2015,Product 3,18, 12.00 , 216.00 ,Large Order
330,10134,2/1/2015,Product 6,3, 4.00 , 12.00 ,Small Order
331,10051,10/27/2013,Product 6,15, 4.00 , 60.00 ,Large Order
332,10081,10/2/2010,Product 3,17, 12.00 , 204.00 ,Large Order
333,10094,1/12/2010,Product 9,1, 2.00 , 2.00 ,Small Order
334,10047,8/29/2011,Product 2,16, 12.00 , 192.00 ,Large Order
335,10050,11/1/2010,Product 8,13, 8.00 , 104.00 ,Normal Order
336,10074,1/21/2014,Product 6,21, 4.00 , 84.00 ,Large Order
337,10076,9/12/2010,Product 3,6, 12.00 , 72.00 ,Normal Order
338,10118,10/3/2013,Product 2,7, 12.00 , 84.00 ,Normal Order
339,10150,12/31/2015,Product 7,10, 9.00 , 90.00 ,Normal Order
340,10143,9/23/2013,Product 4,16, 2.00 , 32.00 ,Large Order
341,10085,3/18/2012,Product 3,9, 12.00 , 108.00 ,Normal Order
342,10036,2/12/2011,Product 2,11, 12.00 , 132.00 ,Normal Order
343,10129,6/22/2012,Product 2,6, 12.00 , 72.00 ,Normal Order
344,10133,9/8/2012,Product 3,5, 12.00 , 60.00 ,Small Order
345,10099,8/10/2014,Product 4,15, 2.00 , 30.00 ,Large Order
346,10020,10/10/2014,Product 9,11, 2.00 , 22.00 ,Normal Order
347,10052,6/24/2012,Product 3,3, 12.00 , 36.00 ,Small Order
348,10093,7/31/2014,Product 8,6, 8.00 , 48.00 ,Normal Order
349,10099,2/26/2010,Product 2,4, 12.00 , 48.00 ,Small Order
350,10065,1/16/2013,Product 10,30, 13.00 , 390.00 ,Large Order
351,10110,4/12/2012,Product 7,6, 9.00 , 54.00 ,Normal Order
352,10127,4/7/2010,Product 8,22, 8.00 , 176.00 ,Large Order
353,10015,12/16/2011,Product 2,10, 12.00 , 120.00 ,Normal Order
354,10080,12/7/2011,Product 2,19, 12.00 , 228.00 ,Large Order
355,10114,10/10/2012,Product 5,10, 12.00 , 120.00 ,Normal Order
356,10135,11/21/2010,Product 5,12, 12.00 , 144.00 ,Normal Order
357,10012,3/12/2014,Product 2,17, 12.00 , 204.00 ,Large Order
358,10018,4/20/2011,Product 4,6, 2.00 , 12.00 ,Normal Order
359,10098,3/12/2010,Product 1,6, 18.00 , 108.00 ,Normal Order
360,10111,9/18/2014,Product 5,2, 12.00 , 24.00 ,Small Order
361,10021,1/28/2013,Product 3,2, 12.00 , 24.00 ,Small Order
362,10039,11/4/2013,Product 3,22, 12.00 , 264.00 ,Large Order
363,10149,11/14/2012,Product 9,30, 2.00 , 60.00 ,Large Order
364,10111,7/9/2013,Product 6,27, 4.00 , 108.00 ,Large Order
365,10014,4/18/2014,Product 8,15, 8.00 , 120.00 ,Large Order
366,10007,12/25/2011,Product 6,28, 4.00 , 112.00 ,Large Order
367,10148,12/13/2011,Product 3,2, 12.00 , 24.00 ,Small Order
368,10076,3/5/2011,Product 8,24, 8.00 , 192.00 ,Large Order
369,10002,1/12/2012,Product 9,6, 2.00 , 12.00 ,Normal Order
370,10085,2/9/2014,Product 1,8, 18.00 , 144.00 ,Normal Order
371,10034,12/11/2015,Product 9,2, 2.00 , 4.00 ,Small Order
372,10094,3/31/2013,Product 10,6, 13.00 , 78.00 ,Normal Order
373,10046,3/2/2014,Product 6,12, 4.00 , 48.00 ,Normal Order
374,10034,5/16/2010,Product 1,3, 18.00 , 54.00 ,Small Order
375,10054,1/25/2014,Product 5,17, 12.00 , 204.00 ,Large Order
376,10148,9/18/2015,Product 6,21, 4.00 , 84.00 ,Large Order
377,10006,12/16/2012,Product 4,1, 2.00 , 2.00 ,Small Order
378,10040,1/10/2010,Product 4,27, 2.00 , 54.00 ,Large Order
379,10113,4/8/2013,Product 2,12, 12.00 , 144.00 ,Normal Order
380,10062,4/28/2013,Product 9,7, 2.00 , 14.00 ,Normal Order
381,10050,5/17/2011,Product 9,24, 2.00 , 48.00 ,Large Order
382,10145,3/18/2011,Product 2,28, 12.00 , 336.00 ,Large Order
383,10097,6/25/2012,Product 8,18, 8.00 , 144.00 ,Large Order
384,10026,10/5/2013,Product 1,5, 18.00 , 90.00 ,Small Order
385,10125,3/10/2010,Product 4,30, 2.00 , 60.00 ,Large Order
386,10072,10/14/2014,Product 10,23, 13.00 , 299.00 ,Large Order
387,10092,8/1/2013,Product 1,22, 18.00 , 396.00 ,Large Order
388,10049,12/17/2011,Product 5,5, 12.00 , 60.00 ,Small Order
389,10036,8/24/2010,Product 4,2, 2.00 , 4.00 ,Small Order
390,10051,3/29/2014,Product 10,9, 13.00 , 117.00 ,Normal Order
391,10100,12/16/2012,Product 3,9, 12.00 , 108.00 ,Normal Order
392,10103,12/15/2011,Product 10,12, 13.00 , 156.00 ,Normal Order
393,10045,7/19/2015,Product 1,22, 18.00 , 396.00 ,Large Order
394,10016,6/12/2011,Product 4,9, 2.00 , 18.00 ,Normal Order
395,10064,8/2/2010,Product 3,23, 12.00 , 276.00 ,Large Order
396,10071,9/14/2010,Product 6,23, 4.00 , 92.00 ,Large Order
397,10122,4/25/2015,Product 3,21, 12.00 , 252.00 ,Large Order
398,10120,5/14/2011,Product 10,20, 13.00 , 260.00 ,Large Order
399,10092,11/26/2015,Product 2,9, 12.00 , 108.00 ,Normal Order
400,10077,7/15/2014,Product 3,28, 12.00 , 336.00 ,Large Order
401,10016,2/12/2015,Product 4,13, 2.00 , 26.00 ,Normal Order
402,10076,12/29/2014,Product 8,15, 8.00 , 120.00 ,Large Order
403,10108,7/22/2014,Product 1,17, 18.00 , 306.00 ,Large Order
404,10024,7/12/2010,Product 9,5, 2.00 , 10.00 ,Small Order
405,10123,9/20/2011,Product 1,12, 18.00 , 216.00 ,Normal Order
406,10108,9/27/2011,Product 7,26, 9.00 , 234.00 ,Large Order
407,10107,12/7/2014,Product 6,11, 4.00 , 44.00 ,Normal Order
408,10026,2/28/2014,Product 9,9, 2.00 , 18.00 ,Normal Order
409,10015,3/19/2012,Product 7,21, 9.00 , 189.00 ,Large Order
410,10135,2/4/2015,Product 1,11, 18.00 , 198.00 ,Normal Order
411,10076,4/15/2012,Product 10,2, 13.00 , 26.00 ,Small Order
412,10019,6/19/2014,Product 8,23, 8.00 , 184.00 ,Large Order
413,10071,11/14/2010,Product 3,29, 12.00 , 348.00 ,Large Order
414,10015,4/8/2015,Product 4,27, 2.00 , 54.00 ,Large Order
415,10046,12/22/2013,Product 1,25, 18.00 , 450.00 ,Large Order
416,10065,7/15/2010,Product 4,15, 2.00 , 30.00 ,Large Order
417,10068,4/20/2012,Product 2,27, 12.00 , 324.00 ,Large Order
418,10042,11/7/2013,Product 1,15, 18.00 , 270.00 ,Large Order
419,10120,11/1/2014,Product 7,10, 9.00 , 90.00 ,Normal Order
420,10063,10/28/2012,Product 8,11, 8.00 , 88.00 ,Normal Order
421,10017,1/30/2011,Product 2,3, 12.00 , 36.00 ,Small Order
422,10100,9/8/2015,Product 6,25, 4.00 , 100.00 ,Large Order
423,10134,7/21/2015,Product 10,13, 13.00 , 169.00 ,Normal Order
424,10137,8/10/2014,Product 6,18, 4.00 , 72.00 ,Large Order
425,10008,9/29/2010,Product 5,17, 12.00 , 204.00 ,Large Order
426,10097,8/29/2015,Product 8,24, 8.00 , 192.00 ,Large Order
427,10033,5/29/2011,Product 5,29, 12.00 , 348.00 ,Large Order
428,10082,9/8/2012,Product 5,29, 12.00 , 348.00 ,Large Order
429,10106,7/7/2013,Product 10,27, 13.00 , 351.00 ,Large Order
430,10113,2/6/2012,Product 10,12, 13.00 , 156.00 ,Normal Order
431,10120,9/20/2012,Product 1,7, 18.00 , 126.00 ,Normal Order
432,10098,10/15/2015,Product 6,20, 4.00 , 80.00 ,Large Order
433,10115,7/16/2015,Product 3,4, 12.00 , 48.00 ,Small Order
434,10048,6/26/2013,Product 9,13, 2.00 , 26.00 ,Normal Order
435,10110,8/1/2015,Product 9,23, 2.00 , 46.00 ,Large Order
436,10029,9/25/2010,Product 8,13, 8.00 , 104.00 ,Normal Order
437,10052,2/21/2012,Product 3,12, 12.00 , 144.00 ,Normal Order
438,10123,9/22/2010,Product 7,4, 9.00 , 36.00 ,Small Order
439,10058,4/1/2011,Product 1,21, 18.00 , 378.00 ,Large Order
440,10049,8/8/2015,Product 3,6, 12.00 , 72.00 ,Normal Order
441,10120,2/3/2011,Product 7,22, 9.00 , 198.00 ,Large Order
442,10052,11/15/2015,Product 6,13, 4.00 , 52.00 ,Normal Order
443,10097,5/27/2014,Product 9,30, 2.00 , 60.00 ,Large Order
444,10066,3/18/2012,Product 10,20, 13.00 , 260.00 ,Large Order
445,10093,9/6/2010,Product 3,11, 12.00 , 132.00 ,Normal Order
446,10053,11/27/2010,Product 3,8, 12.00 , 96.00 ,Normal Order
447,10108,1/13/2014,Product 5,14, 12.00 , 168.00 ,Normal Order
448,10072,10/14/2015,Product 1,20, 18.00 , 360.00 ,Large Order
449,10041,4/16/2014,Product 4,13, 2.00 , 26.00 ,Normal Order
450,10013,12/2/2014,Product 5,9, 12.00 , 108.00 ,Normal Order
451,10135,4/27/2014,Product 6,15, 4.00 , 60.00 ,Large Order
452,10103,3/4/2014,Product 5,1, 12.00 , 12.00 ,Small Order
453,10027,9/26/2013,Product 2,2, 12.00 , 24.00 ,Small Order
454,10147,11/20/2010,Product 5,13, 12.00 , 156.00 ,Normal Order
455,10130,8/14/2010,Product 8,25, 8.00 , 200.00 ,Large Order
456,10100,6/6/2014,Product 8,16, 8.00 , 128.00 ,Large Order
457,10020,9/18/2015,Product 7,12, 9.00 , 108.00 ,Normal Order
458,10065,5/1/2014,Product 9,12, 2.00 , 24.00 ,Normal Order
459,10052,3/24/2015,Product 5,26, 12.00 , 312.00 ,Large Order
460,10112,7/8/2013,Product 8,5, 8.00 , 40.00 ,Small Order
461,10017,5/7/2014,Product 10,26, 13.00 , 338.00 ,Large Order
462,10020,8/16/2014,Product 7,29, 9.00 , 261.00 ,Large Order
463,10103,3/14/2015,Product 1,26, 18.00 , 468.00 ,Large Order
464,10085,11/9/2015,Product 9,18, 2.00 , 36.00 ,Large Order
465,10078,9/20/2015,Product 10,16, 13.00 , 208.00 ,Large Order
466,10133,8/19/2011,Product 2,6, 12.00 , 72.00 ,Normal Order
467,10101,3/2/2015,Product 9,1, 2.00 , 2.00 ,Small Order
468,10064,8/22/2015,Product 2,17, 12.00 , 204.00 ,Large Order
469,10024,4/2/2011,Product 10,25, 13.00 , 325.00 ,Large Order
470,10086,8/9/2015,Product 8,3, 8.00 , 24.00 ,Small Order
471,10146,12/13/2010,Product 2,12, 12.00 , 144.00 ,Normal Order
472,10130,6/17/2013,Product 2,22, 12.00 , 264.00 ,Large Order
473,10139,6/19/2015,Product 3,4, 12.00 , 48.00 ,Small Order
